"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
Y5Rfx9zq25,Native Village of Atqasuk (1 of 2) ,Atqasuk                                 ,"0214"
hmzexepq25,Pit River Tribe                    ,Atsugewi                                ,"0226"
U9f5D3Tq25,Alturas Indian Rancheria           ,Atsugewi                                ,"0226"
hmzexepq25,Pit River Tribe                    ,Atwamsini                               ,"0227"
ZJKorF9q25,Native Village of Barrow Inupiat T ,Barrow                                  ,"0025"
Ztxdpp9q25,Beaver Village                     ,Beaver Village                          ,"0027"
Zc5Tq1Lq25,Native Village of Belkofski        ,Belkofski                               ,"0102"
Zuq8onXq25,Village of Bill Moore s Slough     ,Bill Moore's Slough                     ,"0109"
dEEucNHq25,Birch Creek Tribe                  ,Birch Creek                             ,"0062"
dWzZb9Tq25,Blackfeet Trb/Blackfeet Ind Res/MT ,Blackfeet                               ,"0295"
aDannZjq25,Native Village of Brevig Mission   ,Brevig Mission                          ,"0029"
aWLSmLvq25,Native Village of Buckland         ,Buckland                                ,"0030"
LUEhs2B5E4,Caddo Nation of Oklahoma           ,Caddo                                   ,"0429"
QWU1EhA00P,San Jose Band Rancheria            ,Cahto                                   ,"0229"
OgRparsN5g,Cahto Indians/Laytonville Rancheria,Cahto                                   ,"0229"
feGCSapq25,Cahto Indians/Laytonville Rancheria,Cahto                                   ,"0229"
f2ksV2Rq25,Cabazon Band of Mission Indians    ,Cahuilla                                ,"0228"
AoNHSHTq25,Los Coyotes Bnd/Cahuilla&Cupeno Ind,Cahuilla                                ,"0228"
OjsBX0lq25,Ramona Band of Cahuilla            ,Cahuilla                                ,"0228"
QDsUSwxq25,Agua Caliente Bnd/Cahuilla Inds/Agu,Cahuilla                                ,"0228"
TZ2GETTq25,Morongo Band of Mission Indians    ,Cahuilla                                ,"0228"
UnDZSslq25,Torres Martinez Desert Cahuilla Ind,Cahuilla                                ,"0228"
YOCKvwBq25,Augustine Band of Cahuilla Indians ,Cahuilla                                ,"0228"
YPxKtsxq25,Santa Rosa Band of Cahuilla Indians,Cahuilla                                ,"0228"
hlWpK2Bq25,Cahuilla Band of Indians           ,Cahuilla                                ,"0228"
ap67l87q25,Native Village of Cantwell         ,Cantwell                                ,"0031"
